Stock lable_2017,Stock code_pre 2017,Full name_2017,New advice in 2017,Species Common Name,Book Number 2015,Section number 2016,Alphabet,Placeholder,Superheaders
cod.27.6b,cod-rock,Cod (Gadus morhua) in Division 6.b (Rockall),x,Cod,5,5.3.5,cod,,
cod.27.1-2,cod-arct,Cod (Gadus morhua) in subareas 1 and 2 (Northeast Arctic),x,Cod,3,3.3.3,cod,,
cod.27.1-2coast,cod-coas,Cod (Gadus morhua) in subareas 1 and 2 (Norwegian coastal waters cod),x,Cod,3,3.3.4,cod,,
,cod-ewgr,,,,,,,,
cod.27.5b2,cod-farb,Cod (Gadus morhua) in Subdivision 5.b.2 (Faroe Bank),,Cod,4,4.3.2,cod,Placeholder,
cod.27.5b1,cod-farp,Cod (Gadus morhua) in Subdivision 5.b.1 (Faroe Plateau),x,Cod,4,4.3.1,cod,,
cod.27.5a,cod-iceg,Cod (Gadus morhua) in Division 5.a (Iceland grounds),x,Cod,2,2.3.2,cod,,
cod.21.1,cod-ingr,"Cod (Gadus morhua) in NAFO Subarea 1, inshore (West Greenland cod)",x,Cod,2,2.3.4,cod,,
cod.27.6a,cod-scow,Cod (Gadus morhua) in Division 6.a (West of Scotland),x,Cod,5,5.3.4,cod,,
cod.27.21,cod-kat,Cod (Gadus morhua) in Subdivision 21 (Kattegat),x,Cod,6,6.3.2,cod,,
,cod-offgr,,,,,,,,
raj.27.67a-ce-k,raj-celt,"Rays and skates (Rajidae) in Subarea 6 and divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)",,Rays and skates,5,5.3.16,elasmobranch,Placeholder,
rjb.27.67a-ce-k,rjb-celt,Common skate (Dipturus batis-complex flapper skate (Dipturus cf. Flossada) and blue skate (Dipturus cf. intermedia) in Subarea 6 and divisions 7.a-c and 7.e-k (Celtic Seas and western English Channel),,Common skate,5,5.3.12,elasmobranch,Placeholder,
cod.2127.1f14,cod-segr,"Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland) ",x,Cod,2,2.3.3,cod,,
cod.21.1a-e,cod-wgr,"Cod (Gadus morhua) in NAFO divisions 1.A?E, offshore (West Greenland)",x,Cod,2,2.3.5,cod,,
gag.27.nea,gag-nea,"Tope (Galeorhinus galeus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",x,Tope,9,9.3.19,elasmobranch,,
cod.27.22-24,cod-2224,"Cod (Gadus morhua) in subdivisions 22?24, western Baltic stock (western Baltic Sea)",x,Cod,8,8.3.4,cod,,
dab.27.3a4,dab-nsea,"Dab (Limanda limanda) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)",x,Dab,6,6.3.4,dab,,
guq.27.nea,guq-nea,"Leafscale gulper shark (Centrophorus squamosus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",,Leafscale gulper shark,9,9.3.12,elasmobranch,Placeholder,
por.27.nea,por-nea,"Porbeagle (Lamna nasus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",,Porbeagle,9,9.3.13,elasmobranch,Placeholder,
cod.27.25-32,cod-2532,"Cod (Gadus morhua) in subdivisions 25?32, eastern Baltic stock (eastern Baltic Sea)",x,Cod,8,8.3.5,cod,,
,fle-2232,,,,,,,,
dab.27.22-32,dab-2232,Dab (Limanda limanda) in subdivisions 22?32 (Baltic Sea),x,Dab,8,8.3.6,dab,,
fle.27.2223,fle-2223,Flounder (Platichthys flesus) in subdivisions 22 and 23 (Belt Seas and the Sound),x,Flounder,8,8.3.7,flounder,,
fle.27.2425,fle-2425,Flounder (Platichthys flesus) in subdivisions 24 and 25 (west of Bornholm and southwestern central Baltic),x,Flounder,8,8.3.8,flounder,,
raj.27.3a47d,raj-347d,"Rays and skates (Rajidae) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)",x,Rays and skates,6,6.3.9,elasmobranch,,
raj.27.1012,raj-mar,Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in subareas 10 and 12 (Azores grounds and north of Azores),x,Rays and skates,9,9.3.15,elasmobranch,,
rja.27.nea,rja-nea,"White skate (Rostroraja alba) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",,White skate,9,9.3.20,elasmobranch,Placeholder,
ghl.27.1-2,ghl-arct,Greenland halibut (Reinhardtius hippoglossoides) in subareas 1 and 2 (Northeast Arctic),x,Greenland halibut,3,3.3.5,greenland halibut,,
ghl.27.561214,ghl-grn,"Greenland halibut (Reinhardtius hippoglossoides) in subareas 5, 6, 12, and 14 (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)",x,Greenland halibut,2,2.3.6,greenland halibut,,
rjb.27.3a4,rjb-34 ,"Common skate (Dipturus batis-complex) in  Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)",,Common skate,6,6.3.6,elasmobranch,Placeholder,
,gug-89a,,,,7,,,,
,gug-celt,,,,,,,,
,gug-comb,,,,,,,,
sck.27.nea,sck-nea,"Kitefin shark (Dalatias licha) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",,Kitefin shark,9,9.3.11,elasmobranch,Placeholder,
thr.27.nea,thr-nea,"Thresher sharks (Alopias spp.) in divisions 7.ck, 8.de, 10.ab, 12.a-c and subdivisions 5.b.1, 9.b.1, 14.b.1 (Northeast Atlantic)",,Thresher sharks,9,9.3.18,elasmobranch,Placeholder,
,had-34,,,,,,,,
rjc.27.3a47d,rjc-347d,"Thornback ray (Raja clavata) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)",x,Thornback ray,6,6.3.12,elasmobranch,,
rjc.27.7afg,rjc-7afg,"Thornback ray (Raja clavata) in divisions 7.a and 7.f?g (Irish Sea, Bristol Channel, Celtic Sea North)",,Thornback ray,5,5.3.24,elasmobranch,Placeholder,
had.27.1-2,had-arct,Haddock (Melanogrammus aeglefinus) in subareas 1 and 2 (Northeast Arctic),x,Haddock,3,3.3.6,haddock,,
had.27.5b,had-faro,Haddock (Melanogrammus aeglefinus) in Division 5.b (Faroes grounds),x,Haddock,4,4.3.3,haddock,,
had.27.5a,had-iceg,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),x,Haddock,2,2.3.7,haddock,,
rjc.27.7e,rjc-echw,Thornback ray (Raja clavata) in Division 7.e (western English Channel),,Thornback ray,5,5.3.23,elasmobranch,Placeholder,
rjc.27.6,rjc-VI,Thornback ray (Raja clavata) in Subarea 6 (West of Scotland),,Thornback ray,5,5.3.25,elasmobranch,Placeholder,
,had-scow,,,,,,,,
fle.27.2628,fle-2628,Flounder (Platichthys flesus) in subdivisions 26 and 28 (east of Gotland and Gulf of Gdansk),x,Flounder,8,8.3.9,flounder,,
fle.27.2729-32,fle-2732,Flounder (Platichthys flesus) in subdivisions 27 and 29?32 (northern central and northern Baltic Sea),x,Flounder,8,8.3.10,flounder,,
her.27.25-2932,her-2532-gor,"Herring (Clupea harengus) in subdivisions 25?29 and 32, excluding the Gulf of Riga (central Baltic Sea)",x,Herring,8,8.3.14,herring,,
rjh.27.4c7d,rjh-4c7d,Blonde ray (Raja brachyura) in divisions 4.c and 7.d (southern North Sea and eastern English Channel),x,Blonde ray,6,6.3.5,elasmobranch,,add elasmobranch superheader above
rjm.27.3a47d,rjm-347d,"Spotted ray (Raja montagui) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)",x,Spotted ray,6,6.3.10,elasmobranch,,
rje.27.7fg,rje-7fg,"Small-eyed ray (Raja microocellata) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea North) ",,Small-eyed ray,5,5.3.20,elasmobranch,Placeholder,
rje.27.7de,rje-ech,Small-eyed ray (Raja microocellata) in divisions 7.d and 7.e (English Channel),,Small-eyed ray,5,5.3.19,elasmobranch,Placeholder,
,her-irlw,,,,5,,,,
rjf.27.67,rjf-celt,"Shagreen ray (Leucoraja fullonica) in subareas 6?7 (West of Scotland, southern Celtic Seas, English Channel)",,Shagreen ray,5,5.3.18,elasmobranch,Placeholder,
sdv.27.nea,trk-nea,"Smooth-hound (Mustelus spp.) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",x,Smooth-hound,9,9.3.16,elasmobranch,,
her.27.30,her-30,Herring (Clupea harengus) in Subdivision 30 (Bothnian Sea),x,Herring,8,8.3.12,herring,,
her.27.5a,her-vasu,"Herring (Clupea harengus) in Division 5.a, summer-spawning herring (Iceland grounds)",x,Herring,2,2.3.8,herring,,
,her-vian,,,,5,,,,
gfb.27.nea,gfb-comb,"Greater forkbeard (Phycis blennoides) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",,Greater forkbeard,9,9.3.21,greater forkbeard,Placeholder,
rjb.27.89a,rjb-89a,Common skate (Dipturus batis-complex) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters),,Common skate,7,7.3.8,elasmobranch,Placeholder,
rjn.27.3a4,rjn-34,"Cuckoo ray (Leucoraja naevus) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)",x,Cuckoo ray,6,6.3.7,elasmobranch,,
rjc.27.8,rjc-bisc,Thornback ray (Raja clavata) in Subarea 8 (Bay of Biscay),,Thornback ray,7,7.3.17,elasmobranch,Placeholder,
aru.27.123a4,arg-123a4,"Greater silver smelt (Argentina silus) in subareas 1, 2, and 4, and in Division 3.a (Northeast Arctic, North Sea, Skagerrak and Kattegat)",x,Greater silver smelt,9,9.3.24,greater silver smelt,,
rjc.27.9a,rjc-pore,Thornback ray (Raja clavata) in Division 9.a (Atlantic Iberian waters),,Thornback ray,7,7.3.16,elasmobranch,Placeholder,
rjr.27.23a4,rjr-234,"Starry ray (Amblyraja radiata) in Subareas 2 and 4, and in Division 3.a  (Norwegian Sea, North Sea, Skagerrak and Kattegat)",,Starry ray,6,6.3.11,elasmobranch,Placeholder,
aru.27.5b6a,arg-5b6a,Greater silver smelt (Argentina silus) in divisions 5.b and 6.a (Faroes grounds and west of Scotland),x,Greater silver smelt,9,9.3.22,greater silver smelt,,
,lin-comb,,,,,,,,
aru.27.5a14,arg-icel,Greater silver smelt (Argentina silus) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds),x,Greater silver smelt,9,9.3.23,greater silver smelt,,
aru.27.nea,arg-rest,"Greater silver smelt (Argentina silus) in subareas 7?10 and 12, and in Division 6.b (other areas)",x,Greater silver smelt,9,9.3.25,greater silver smelt,,
rhg.27.nea,rhg-nea,"Roughhead grenadier (Macrourus berglax) in subareas 5-8, 10, 12 and 14 (Northeast Atlantic and Arctic Ocean)",,Roughhead grenadier,9,9.3.26,grenadier roughhead,Placeholder,add grenadier superheader above
tsu.27.nea,tsu-nea,"Roughsnout grenadier (Trachyrincus scabrus) in subareas 1-2, 4-8, 10, 12, 14 and Division 3a (Northeast Atlantic and Arctic Ocean)",,Roughsnout grenadier,9,9.3.27,grenadier roughsnout,Placeholder,
rjh.27.4a6a,rjh-4aVI,Blonde ray (Raja brachyura) in Subarea 6 and Division 4.a (North Sea and West of Scotland),x,Blonde ray,5,5.3.11,elasmobranch,,
rjh.27.7afg,rjh-7afg,"Blonde ray (Raja brachyura) in divisions 7.a and 7.f?g (Irish Sea, Bristol Channel, Celtic Sea North)",,Blonde ray,5,5.3.10,elasmobranch,Placeholder,
rjh.27.9a,rjh-pore,Blonde ray (Raja brachyura) in Division 9.a (Atlantic Iberian waters),,Blonde ray,7,7.3.7,elasmobranch,Placeholder,
rjh.27.7e,rjh-7e,Blonde ray (Raja brachyura) in Division 7.e (western English Channel),,Blonde ray,5,5.3.9,elasmobranch,Placeholder,
rjm.27.8,rjm-bisc,Spotted ray (Raja montagui) in  Subarea 8 (Bay of Biscay),,Spotted ray,7,7.3.15,elasmobranch,Placeholder,
syc.27.3a47d,syc-347d,"Lesser-spotted dogfish (Scyliorhinus canicula) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)",x,Lesser-spotted dogfish,6,6.3.8,elasmobranch,,
rng.27.5a10b12ac14b,rng-1012,"Roundnose grenadier (Coryphaenoides rupestris) in divisions 10.b and 12.c, and in subdivisions 12.a.1, 14.b.1, and 5.a.1 (Oceanic Northeast Atlantic and northern Reykjanes Ridge)",x,Roundnose grenadier,9,9.3.29,grenadier roundnose,,
